 564: max:0.679, min:0.536, mean:0.626
 565: max:0.679, min:0.536, mean:0.633
 566: max:0.679, min:0.571, mean:0.635
 567: max:0.679, min:0.536, mean:0.636
 568: max:0.679, min:0.571, mean:0.634
 569: max:0.679, min:0.500, mean:0.626
 570: max:0.679, min:0.500, mean:0.630
 571: max:0.714, min:0.500, mean:0.627
 572: max:0.679, min:0.536, mean:0.622
 573: max:0.679, min:0.500, mean:0.628
 574: max:0.679, min:0.536, mean:0.628
 575: max:0.679, min:0.536, mean:0.635
 576: max:0.679, min:0.536, mean:0.628
 577: max:0.679, min:0.536, mean:0.627
 578: max:0.679, min:0.464, mean:0.619
 579: max:0.714, min:0.500, mean:0.624
 580: max:0.714, min:0.536, mean:0.620
 581: max:0.714, min:0.500, mean:0.616
 582: max:0.714, min:0.500, mean:0.618
 583: max:0.714, min:0.500, mean:0.618
 584: max:0.679, min:0.500, mean:0.621
 585: max:0.679, min:0.500, mean:0.618
 586: max:0.679, min:0.500, mean:0.616
 587: max:0.679, min:0.500, mean:0.617
 588: max:0.679, min:0.464, mean:0.617
 589: max:0.679, min:0.536, mean:0.614
 590: max:0.679, min:0.464, mean:0.616
 591: max:0.679, min:0.536, mean:0.614
 592: max:0.679, min:0.500, mean:0.610
 593: max:0.679, min:0.500, mean:0.609
 594: max:0.679, min:0.536, mean:0.609
 595: max:0.679, min:0.500, mean:0.610
 596: max:0.714, min:0.500, mean:0.614
 597: max:0.714, min:0.500, mean:0.615
 598: max:0.714, min:0.500, mean:0.619
 599: max:0.714, min:0.536, mean:0.623
 600: max:0.714, min:0.500, mean:0.618
 601: max:0.714, min:0.464, mean:0.611
 602: max:0.714, min:0.464, mean:0.616
 603: max:0.714, min:0.500, mean:0.616
 604: max:0.714, min:0.464, mean:0.611
 605: max:0.714, min:0.536, mean:0.614
 606: max:0.714, min:0.500, mean:0.620
 607: max:0.714, min:0.536, mean:0.621
 608: max:0.714, min:0.536, mean:0.617
 609: max:0.714, min:0.500, mean:0.615
 610: max:0.714, min:0.500, mean:0.619
 611: max:0.714, min:0.464, mean:0.620
 612: max:0.714, min:0.500, mean:0.623
 613: max:0.679, min:0.536, mean:0.624
 614: max:0.679, min:0.464, mean:0.628
 615: max:0.679, min:0.500, mean:0.621
 616: max:0.679, min:0.536, mean:0.622
 617: max:0.679, min:0.536, mean:0.623
 618: max:0.679, min:0.500, mean:0.622
 619: max:0.714, min:0.464, mean:0.620
 620: max:0.714, min:0.500, mean:0.615
 621: max:0.714, min:0.500, mean:0.619
 622: max:0.714, min:0.500, mean:0.623
 623: max:0.714, min:0.536, mean:0.619
 624: max:0.714, min:0.536, mean:0.623
 625: max:0.714, min:0.536, mean:0.616
 626: max:0.714, min:0.536, mean:0.622
 627: max:0.714, min:0.500, mean:0.624
 628: max:0.714, min:0.500, mean:0.628
 629: max:0.714, min:0.536, mean:0.626
 630: max:0.750, min:0.464, mean:0.626
 631: max:0.750, min:0.536, mean:0.636
 632: max:0.750, min:0.536, mean:0.640
 633: max:0.750, min:0.500, mean:0.640
 634: max:0.714, min:0.536, mean:0.646
 635: max:0.714, min:0.571, mean:0.648
 636: max:0.714, min:0.536, mean:0.643
